Ano,Mes,Gasolina_PrecoMedio,Gasolina_DesvioPadrao,Gasolina_Min,Gasolina_Max,Valor_Dolar
2017,Maio,3.617,0.252,2.96,4.999,3.126
2017,Junho,3.548,0.269,2.88,4.799,3.101
2017,Julho,3.553,0.304,2.799,4.95,3.283
2017,Agosto,3.781,0.265,2.999,5.1,3.189
2017,Agosto,3.781,0.265,2.999,5.1,3.189
2017,Setembro,3.881,0.253,3.099,5.2,3.197
2017,Setembro,3.881,0.253,3.099,5.2,3.197
2017,Outubro,3.895,0.25,3.199,5.2,3.125
2017,Novembro,4.004,0.261,3.199,5.2,3.157
2017,Dezembro,4.085,0.256,3.399,5.2,3.283
2018,Janeiro,4.189,0.268,3.499,5.15,3.318
2018,Fevereiro,4.208,0.268,3.479,5.2,3.196
2018,Marco,4.199,0.283,3.479,5.2,3.22
2018,Abril,4.215,0.292,3.397,5.2,3.285
2018,Maio,4.314,0.307,3.369,5.459,3.41
2018,Junho,4.552,0.271,3.599,5.599,3.675
2018,Julho,4.492,0.294,3.649,5.599,3.773
2018,Agosto,4.447,0.302,3.649,5.99,3.874
2018,Setembro,4.625,0.296,3.69,6.29,3.913
2018,Outubro,4.717,0.278,3.899,6.29,4.187
2018,Novembro,4.59,0.296,3.749,6.29,3.733
2018,Novembro,4.59,0.296,3.749,6.29,3.733
2018,Dezembro,4.365,0.307,3.669,6.29,3.792
2019,Janeiro,4.268,0.314,3.39,6.29,3.309
2019,Fevereiro,4.19,0.316,3.397,5.69,3.704
2019,Marco,4.305,0.306,3.499,5.988,3.715
2019,Abril,4.437,0.301,3.599,5.988,3.834
2019,Maio,4.552,0.306,3.699,5.859,3.873
2019,Junho,4.468,0.311,3.679,5.859,4.003
2019,Julho,4.351,0.317,3.569,5.859,3.881
2019,Agosto,4.316,0.308,3.559,5.799,3.746
2019,Setembro,4.326,0.31,3.559,5.799,4.018
2019,Outubro,4.38,0.303,3.629,5.799,4.061
2019,Novembro,4.413,0.291,3.649,5.799,4.148
2019,Dezembro,4.531,0.281,3.699,5.859,4.183
2020,Janeiro,4.579,0.276,3.799,5.899,4.094
2020,Fevereiro,4.55,0.274,3.67,5.899,4.162
2020,Marco,4.462,0.294,3.23,5.889,4.316
2020,Abril,4.066,0.341,2.92,5.889,4.736
2020,Maio,3.818,0.314,2.87,5.69,5.257
2020,Junho,3.964,0.301,2.99,5.69,5.822
2020,Julho,4.144,0.294,3.259,5.69,5.188
2020,Agosto,4.237,0.3,3.37,5.69,5.349
2020,Setembro,4.528,na,na,na,5.385
2020,Outubro,4.358,0.308,3.64,5.199,5.272
2020,Novembro,4.409,0.31,3.59,5.499,5.617
2020,Dezembro,4.483,0.303,3.65,5.499,5.485
2021,Janeiro,4.622,0.294,3.099,5.95,5.096
2021,Fevereiro,4.951,0.346,3.89,6.35,5.271
2021,Marco,5.484,0.358,4.279,6.7,5.381
2021,Abril,5.448,0.353,3.899,6.89,5.629
2021,Maio,5.604,0.341,4.199,6.997,5.623
2021,Junho,5.687,0.331,4.398,6.89,5.27
2021,Julho,5.807,0.354,4.549,6.999,5.087
2021,Agosto,5.933,0.355,4.599,7.219,5.1
2021,Setembro,6.078,0.349,5.049,7.236,5.247
2021,Outubro,6.341,0.402,4.69,7.889,5.257
2021,Novembro,6.744,0.372,5.259,7.999,5.451
2021,Dezembro,6.67,0.364,5.299,7.962,5.419
2022,Janeiro,6.635,0.368,5.489,8.029,5.712
2022,Fevereiro,6.6,0.383,5.579,7.999,5.534
2022,Marco,7.012,0.505,5.19,8.949,5.188
2022,Abril,7.245,0.407,6.099,8.599,5.131
2022,Maio,7.297,0.426,6.199,8.99,4.715
